Target,Target Aliases,Therapeutic Area,Development Phase,Exclusive Partership,Launched Drugs
CSF2RA,"CSF2RA, CD116, CSF2R",Inflammation and Autoimmunity,F0,No,0
AFP,"AFP, FETA, HPAFP",Oncology,F0,No,4
FZD10,"FZD10, Fz10, CD350",Oncology,F0,No,1
FCRL5,"FCRL5, CD307, IRTA2",Oncology,F0,No,1
CLU,"CLU, APOJ, SGP2",Oncology,F0,No,2
CFB,"CFB, PBF2, AHUS4","Inflammation and Autoimmunity,Ophthalmology,Infectious Diseases,Others,Urological Diseases,Cardiovascular",F0,No,3
CD7,"CD7, GP40, TP41","Oncology,Infectious Diseases",F0,No,9
CD5,"CD5, T1, LEU1","Oncology,Inflammation and Autoimmunity,Metabolism,Others",F0,No,2
CD43,"LSN, CD43, GALGP, GPL115",Oncology,F0,No,0
P2X7,P2X7,Oncology,F0,No,6
PSCA,"PSCA, PRO232","Oncology,Others",F0,No,4
SSTR2,SSTR2,Oncology,F0,No,22
IL3RA,"IL3RA, IL3R, CD123","Oncology,Others,Inflammation and Autoimmunity",F0,No,24
CD300a,"CD300a, IRC1, CMRF35H",Inflammation and Autoimmunity,F0,No,0
CDCP1,"CDCP1, CD318, TRASK",Oncology,F0,No,0
DKK2,DKK-2,Oncology,F0,No,0
IL3,IL3,"Inflammation and Autoimmunity,Others",F0,No,0
POSTN,"POSTN, PN, OSF2","Oncology,Cardiovascular,Inflammation and Autoimmunity",F0,No,0
TREM2,"TREM2, PLOSL2","Neuroscience,Oncology,Gastrointestinal,Inflammation and Autoimmunity,Infectious Diseases",F0,No,1
ANXA1,"ANXA1, ANX1, LPC1","Inflammation and Autoimmunity,Neuroscience,Infectious Diseases,Cardiovascular,Reproductive System Diseases",F0,No,0
AREG,"AREG, SDGF, AREGB",Oncology,F0,No,0
CD48,"CD48, BCM1, BLAST","Inflammation and Autoimmunity,Oncology,Gastrointestinal",F0,No,2
CD83,"CD83, BL11, HB15","Inflammation and Autoimmunity,Oncology",F0,No,0
CFI,"CFI, AHUS3, C3BINA","Inflammation and Autoimmunity,Neuroscience",F0,No,0
IL12RB1,"IL12RB1, CD212",Inflammation and Autoimmunity,F0,No,0
JAM-A,JAM-A,"Oncology,Cardiovascular",F0,No,0
PROK2,"PROK2, PK2, KAL4",Oncology,F0,No,0
SPARC,"SPARC, ONT, BM-40","Oncology,Inflammation and Autoimmunity,Infectious Diseases,Ophthalmology,Cardiovascular,Orthopaedic Disorders",F0,No,0
APLN,"APLN, APEL, XNPEP2","Oncology,Ophthalmology",F0,No,0
BST2,"BST2, CD317, TETHERIN",Oncology,F0,No,0
FGF21,FGF21,Metabolism,F0,No,1
GPR84,"GPR84, EX33, GPCR4",Inflammation and Autoimmunity,F0,No,2
UPA,UPA,"Oncology,Cardiovascular,Others,Inflammation and Autoimmunity",F0,No,12
MADCAM1,MADCAM1,Inflammation and Autoimmunity,F0,No,1
M-CSF,M-CSF,"Oncology,Inflammation and Autoimmunity",F0,No,4
CD46,"CD46, MCP, TLX",Oncology,F0,No,3
CD49b,"CD49b, HPA-5, VLA-2","Inflammation and Autoimmunity,Cardiovascular,Oncology,Others",F0,No,1
G-CSFR,G-CSFR,"Inflammation and Autoimmunity,Oncology,Others,Cardiovascular",F0,No,146
TSPAN8,"TSPAN8, CO-029, TM4SF3",Oncology,F0,No,0
ARTN,"ARTN, NBN, ENOVIN",Oncology,F0,No,0
CD151,"CD151, GP27, TSPAN24",Oncology,F0,No,0
CD69,"CD69, MLR-3, CLEC2C",Oncology,F0,No,0
CRTAM,"CRTAM, CD355",Oncology,F0,No,#N/A
EPHA5,"EPHA5, EK7, TYRO4",Oncology,F0,No,#N/A
GAS6,"GAS6, AXSF, AXLLG","Oncology,Urological Diseases",F0,No,#N/A
GPA,"GPA, PAS-2, CD235a",Cardiovascular,F0,No,#N/A
HGFA,"HGFA, HGFA","Oncology,Inflammation and Autoimmunity,Others",F0,No,#N/A
IL17RB,"IL17RB, CRL4, EVI27","Oncology,Inflammation and Autoimmunity",F0,No,#N/A
IL34,"IL34, IL-34, C16orf77","Oncology,Inflammation and Autoimmunity,Others",F0,No,#N/A
IL9,IL9,"Infectious Diseases,Inflammation and Autoimmunity,Oncology,NA",F0,No,#N/A
KCNA3,"KCNA3, HGK5, PCN3",Inflammation and Autoimmunity,F0,No,#N/A
KLKB1,"KLKB1, PKK, KLK3","Inflammation and Autoimmunity,Others,Cardiovascular,Orthopaedic Disorders,Infectious Diseases,Metabolism",F0,No,#N/A
LAMA4,"LAMA4, LAMA3, CMD1JJ",Oncology,F0,No,#N/A
LRRN1,"LRRN1, NLRR-1, FIGLER3",Oncology,F0,No,#N/A
Notch4,"Notch4, INT3","Oncology,Inflammation and Autoimmunity",F0,No,#N/A
OLFML3,"OLFML3, OLF44, HNOEL-iso",Oncology,F0,No,#N/A
MRP14,"MRP14, P14, CAGB",Metabolism,F0,No,#N/A
SFRP2,"SFRP2, SARP1, SDF-5",Oncology,F0,No,#N/A
SLPI,"SLPI, ALP, MPI",Oncology,F0,No,#N/A
ADAMTS4,"ADAMTS4, ADMP-1, ADAMTS-2",Orthopaedic Disorders,F0,No,#N/A
ADIPOQ,"ADIPOQ, ACDC, APM1",Inflammation and Autoimmunity,F0,No,#N/A
APOA2,"APOA2, apoAII, Apo-AII",Inflammation and Autoimmunity,F0,No,#N/A
BST1,"BST1, CD157",Oncology,F0,No,#N/A
CACFD1,"CACFD1, C9orf7, FLOWER",Oncology,F0,No,#N/A
CAV1,"CAV1, CGL3, PPH3",Oncology,F0,No,#N/A
CD300LF,"CD300LF, CLM1, NKIR",Oncology,F0,No,#N/A
CD34,"CD34, ","Ophthalmology,Oncology",F0,No,#N/A
CD5L,"CD5L, AIM, PRO229",Oncology,F0,No,#N/A
CD68,"CD68, GP110, LAMP4",Oncology,F0,No,#N/A
CMKLR1,"CMKLR1, ",Inflammation and Autoimmunity,F0,No,#N/A
CXCL4,"CXCL4, PF-4, CXCL4","Oncology,Others",F0,No,#N/A
CXCR6,"CXCR6, CD186, STRL33",Inflammation and Autoimmunity,F0,No,#N/A
EFEMP1,"EFEMP1, DHRD, MLVT",Oncology,F0,No,#N/A
ENTPD2,"ENTPD2, ",Oncology,F0,No,#N/A
EPHB2,"EPHB2, DRT, EK5",Oncology,F0,No,#N/A
EREG,"EREG, ER, Ep, EPR","Oncology, Urological Diseases,Metabolism",F0,No,#N/A
GAL1,"GAL1, GBP, GAL1","Oncology, Others",F0,No,#N/A
